92-U-236(n,total fission) ENDF/B-VII.1
230.184,0.052513
230.212,0.0401643
230.24,0.0305931
230.268,0.0232782
230.297,0.01776
230.324,0.0138135
230.351,0.0108544
230.378,0.00865064
230.408,0.00684424
230.435,0.00567791
230.469,0.00463124
230.502,0.00390034
230.546,0.00326075
230.593,0.00279242
230.649,0.00240943
230.725,0.00205889
230.838,0.00170273
230.986,0.00139189
231.135,0.00117912
231.344,9.74877E-4
231.559,8.32862E-4
231.868,6.97557E-4
232.238,5.91672E-4
232.71,5.05166E-4
233.327,4.35333E-4
234.272,3.70728E-4
235.258,3.29051E-4
236.573,2.93104E-4
238.399,2.62729E-4
239.617,2.52262E-4
240.225,2.50199E-4
241.054,2.5844E-4
241.468,2.75401E-4
241.726,2.99231E-4
241.909,3.32675E-4
242.019,3.7295E-4
242.088,4.21907E-4
242.129,4.71138E-4
242.17,5.47249E-4
242.204,6.42967E-4
242.239,7.82902E-4
242.27,9.62727E-4
242.3,0.00121312
242.33,0.00154605
242.359,0.001963
242.39,0.00257818
242.421,0.00339385
242.452,0.00445666
242.486,0.00597037
242.521,0.00790867
242.562,0.0108768
242.607,0.0149896
242.661,0.0211112
242.743,0.032559
242.847,0.0476336
242.924,0.0557315
242.991,0.0586258
243.0,0.0586652
243.062,0.0566705
243.124,0.0511164
