94-Pu-243(n,&gamma;) ENDF/B-VII.1
61.2977,5.80434
61.3216,7.27903
61.3454,9.30317
61.3664,11.6796
61.3892,15.0714
61.4121,19.4646
61.4393,26.1755
61.4693,35.5936
61.5113,51.8316
61.5818,80.9718
61.6234,92.8471
61.6598,96.4774
61.6905,93.8581
61.7267,84.734
61.7792,64.2525
61.8373,40.2894
61.8693,29.429
61.896,22.1422
61.9217,16.6467
61.9455,12.755
61.9694,9.82499
61.9932,7.66036
62.0156,6.16076
62.0414,4.90905
62.07,3.9333
62.1007,3.20683
62.1324,2.68093
62.1686,2.25271
62.2139,1.87512
62.2678,1.56196
62.3274,1.31892
62.3989,1.11515
62.4704,0.972574
62.5657,0.843597
62.661,0.761159
62.8041,0.696032
62.9094,0.682295
63.0349,0.700114
63.1603,0.759406
63.2773,0.86545
63.3775,1.01636
63.461,1.21147
63.5302,1.45258
63.5874,1.74334
63.6352,2.09244
63.6781,2.55003
63.7139,3.11032
63.7425,3.7523
63.7711,4.66529
63.7974,5.85821
63.8212,7.36606
63.8451,9.42428
63.8661,11.8244
63.889,15.2236
63.9119,19.5883
63.9391,26.1904
63.9692,35.3549
64.015,52.4857
64.0817,78.5289
64.1234,89.6508
64.1598,93.0402
64.1932,90.1607
64.2306,80.8696
64.2898,58.5003
64.3451,37.1938
64.3795,26.5078
64.4062,19.9521
64.4315,15.1142
64.4553,11.6223
64.4792,8.99365
64.5016,7.14938
64.5245,5.74765
64.5474,4.71059
64.576,3.77969
64.6056,3.10739
64.6419,2.53723
64.6782,2.13956
64.7235,1.78742
64.7803,1.48135
64.8518,1.22022
64.9234,1.04237
65.0188,0.883808
65.1143,0.782233
65.2097,0.718548
65.3573,0.672871
65.4095,0.669445
65.5346,0.686958
65.6598,0.745115
