91-Pa-231(n,total fission) ENDF/B-VII.1
13.9924,0.00370574
14.006,0.00512203
14.0216,0.0071665
14.0482,0.0114141
14.0723,0.0152654
14.0909,0.017432
14.1085,0.0183051
14.1115,0.0183226
14.1291,0.0176492
14.1477,0.0156744
14.201,0.00752249
14.2172,0.00550853
14.2311,0.00415751
14.243,0.00326115
14.2554,0.00255176
14.2673,0.00204813
14.2778,0.00172029
14.2897,0.0014444
14.3045,0.0012089
14.321,0.00103975
14.3398,9.22328E-4
14.3681,8.32226E-4
14.3991,7.97812E-4
14.4103,7.95697E-4
14.455,8.23421E-4
14.5108,9.16649E-4
14.5749,0.00108796
14.641,0.00134277
14.6989,0.00165706
14.749,0.00204281
14.7866,0.00245316
14.8182,0.00294601
14.8421,0.00348317
14.8611,0.00409467
14.8787,0.00489182
14.895,0.0059366
14.9113,0.00739821
14.9276,0.00940876
14.9456,0.0124048
14.9662,0.0168212
15.0118,0.0280767
15.0319,0.0314588
15.05,0.0324718
15.069,0.0310776
15.0901,0.0269104
15.1413,0.0125183
15.1566,0.00895698
15.1696,0.00652882
15.1799,0.00501384
15.1904,0.00380003
15.1992,0.00302037
15.2085,0.00239246
15.2165,0.00198665
15.2265,0.00162541
15.2366,0.00139277
15.2446,0.00127855
15.2566,0.00119743
15.2626,0.00118832
15.2747,0.00121724
15.2927,0.00134712
15.3168,0.00163521
15.3414,0.00205145
15.3629,0.00254883
15.3811,0.00312452
15.3962,0.00377586
15.4113,0.00467031
15.4244,0.00573412
15.4371,0.00711111
15.4497,0.0089492
15.4628,0.0114831
15.4769,0.015072
15.4919,0.0199882
15.5116,0.0281405
15.5586,0.0507877
15.5806,0.0581282
15.5998,0.060318
15.6178,0.0583047
15.6393,0.0514233
15.6908,0.0281781
15.709,0.0216787
15.7249,0.0174876
15.7362,0.0153398
15.7496,0.0136275
15.7624,0.0127081
15.7796,0.0124218
15.7967,0.013078
15.8139,0.0146801
15.828,0.0168567
15.8422,0.0200712
15.8563,0.0247296
15.8687,0.0304406
15.8819,0.038729
15.8932,0.0482707
15.9068,0.0632943
15.9209,0.0836704
15.9378,0.114966
15.9618,0.170653
15.9986,0.260962
16.0206,0.296677
16.0372,0.305724
16.0529,0.298042
16.0723,0.268693
16.098,0.207485
16.1298,0.126232
16.1474,0.0889408
16.1613,0.065553
16.1739,0.0488056
16.1845,0.0377502
16.1954,0.0288854
16.2065,0.0219473
16.2176,0.0167309
16.2277,0.0131514
16.2377,0.0104204
16.2478,0.00833415
16.2599,0.00645809
16.2721,0.00507315
16.2842,0.00403281
16.2979,0.00314575
16.3112,0.00248844
16.3264,0.00192089
16.3404,0.00152095
16.3557,0.0011904
16.3682,9.93739E-4
16.3808,8.61922E-4
16.3913,8.05298E-4
16.3963,7.97802E-4
16.4034,8.1116E-4
16.4114,8.65107E-4
16.4204,9.83895E-4
16.4292,0.0011701
16.438,0.00144016
16.4468,0.00181008
16.4555,0.00229716
16.4661,0.00306113
16.4766,0.00404742
16.4886,0.00547407
16.5037,0.00772149
16.5233,0.0113277
16.5639,0.0195131
16.5831,0.0223347
16.603,0.0236368
16.6068,0.0236701
16.6261,0.022778
16.6487,0.0198461
16.7006,0.010521
16.7191,0.00782588
16.7357,0.00598531
16.7495,0.00484598
16.7637,0.0040016
16.7766,0.00348764
16.7863,0.00323623
16.7992,0.00306062
16.8056,0.00303766
16.8206,0.00315268
16.8335,0.00345363
16.8464,0.00397163
16.8593,0.00474741
16.8721,0.00582699
16.8868,0.00747661
16.9029,0.00985417
16.9257,0.0140956
16.9656,0.0222976
16.9878,0.0254927
17.008,0.0264851
17.0254,0.0256374
17.0433,0.0232556
17.0726,0.0173169
17.1027,0.0108674
17.1202,0.0077436
17.1342,0.00573957
17.1466,0.00433355
17.1585,0.00327605
17.1696,0.00250875
17.1807,0.00191981
17.1918,0.00147398
17.2019,0.00116611
17.212,9.29965E-4
17.2221,7.48819E-4
17.2342,5.8549E-4
17.2463,4.64897E-4
17.2584,3.74584E-4
17.2726,2.96044E-4
17.2871,2.3637E-4
17.3039,1.85633E-4
17.3207,1.48672E-4
17.3389,1.1978E-4
17.3578,9.87877E-5
17.3736,8.67687E-5
17.3938,7.71266E-5
17.414,7.27099E-5
17.4266,7.21709E-5
17.4519,7.54304E-5
17.4771,8.36518E-5
17.5087,9.98657E-5
17.5491,1.29031E-4
17.5958,1.73505E-4
17.6463,2.34336E-4
17.706,3.24752E-4
17.7682,4.44769E-4
17.8272,5.91554E-4
17.8803,7.63065E-4
17.9275,9.62439E-4
17.9688,0.00119263
18.0101,0.00150732
18.0406,0.00183096
18.0661,0.00220813
18.0873,0.00265225
18.1072,0.0032513
18.1242,0.00399848
18.1393,0.00494275
18.1525,0.00607754
18.1662,0.00766106
18.1803,0.00985843
18.1945,0.0127477
18.211,0.0171141
18.2318,0.0241368
18.2847,0.0451866
18.3054,0.050959
18.3266,0.0530848
18.3468,0.0510261
18.3678,0.0451698
18.4256,0.021815
18.4424,0.0162644
18.4565,0.0125406
18.4707,0.00970688
18.4825,0.00797014
18.4943,0.00673133
18.5037,0.00605207
18.5174,0.00549089
18.5288,0.00536035
18.5402,0.00551404
18.5539,0.00608038
18.5676,0.00711803
18.5794,0.00847742
18.5915,0.0104302
18.6035,0.0130954
18.6156,0.0166403
18.6277,0.0212368
18.6418,0.0281282
18.6581,0.0383382
18.6794,0.0549809
18.7253,0.0951658
18.7449,0.107621
18.7657,0.113278
18.7686,0.113352
18.7858,0.110126
18.8067,0.0985717
18.8385,0.0713965
18.8678,0.0455024
18.8863,0.0320433
18.9007,0.0237933
18.9132,0.0180819
18.9259,0.0135717
18.9371,0.0105431
18.9483,0.00822942
18.9595,0.00648689
18.9714,0.00513441
18.9832,0.00416052
18.995,0.0034667
19.0069,0.00297874
19.0202,0.00261121
19.0366,0.0023488
19.0531,0.00225433
19.0564,0.00225364
19.072,0.00233355
19.0856,0.00252376
19.1014,0.00291516
19.1172,0.00353152
19.1331,0.00442341
19.1504,0.00576851
19.1705,0.00783715
19.2001,0.0116819
19.2338,0.0160667
19.2559,0.0179647
19.2736,0.0184839
19.2945,0.0177917
19.3142,0.0159836
19.3724,0.00820426
19.389,0.00648374
19.4028,0.0054486
19.4153,0.00483801
19.4271,0.00453559
19.4367,0.00446519
19.4527,0.00463549
19.4818,0.00548413
19.5099,0.00629707
19.5308,0.00652656
19.5497,0.00634436
19.5702,0.0057493
19.6023,0.00429416
19.6352,0.00274107
19.6545,0.00200223
19.6711,0.00150936
19.6849,0.00119494
19.6987,9.57662E-4
19.7137,7.72855E-4
19.7286,6.46418E-4
19.7457,5.54314E-4
19.7585,5.11636E-4
19.7801,4.74305E-4
19.7997,4.65552E-4
19.8323,4.83385E-4
19.8782,5.51569E-4
19.9255,6.60766E-4
19.9794,8.33418E-4
20.0295,0.00105003
20.0733,0.00130312
20.1146,0.00162745
20.1497,0.00201418
20.1777,0.00245246
20.2002,0.00293913
20.2228,0.00360069
20.248,0.00461671
20.2773,0.00619495
20.3319,0.00962664
20.3609,0.0108235
20.3805,0.0110585
20.4096,0.0105619
20.4461,0.00953081
20.4536,0.00947275
20.4701,0.00980244
20.4821,0.0105913
20.4941,0.0119907
20.5064,0.0141821
20.5202,0.0177108
20.5354,0.0230719
20.5523,0.0309547
20.5747,0.0441288
20.6235,0.0764126
20.6472,0.0873444
20.6695,0.0910296
20.6867,0.0888225
20.7095,0.0797864
20.7432,0.0585877
20.7752,0.0376743
20.7955,0.0267712
20.8118,0.0198965
20.826,0.0152061
20.8397,0.0117428
20.8528,0.00922963
20.8658,0.00735303
20.8804,0.00584833
20.8949,0.00480002
20.9094,0.00408139
20.9268,0.00352369
20.9443,0.00319528
20.9675,0.00299904
20.9771,0.00297927
21.006,0.00309811
21.0349,0.00347874
21.0581,0.00400689
21.0808,0.00476596
21.1034,0.00582749
21.1281,0.00739391
21.1558,0.00971444
21.1854,0.0129185
21.2106,0.0164465
21.2302,0.0201754
21.2467,0.0245135
21.2624,0.0302027
21.2772,0.0376565
21.2919,0.0474814
21.3077,0.0612441
21.3274,0.0831346
21.3627,0.132166
21.3923,0.171356
21.4161,0.191376
21.4329,0.195744
21.4541,0.188741
21.4748,0.170005
21.5385,0.0858938
21.56,0.0631061
21.5785,0.0481506
21.5953,0.0381399
21.6127,0.0306206
21.6316,0.0247627
21.6553,0.0194768
21.6867,0.0142184
21.7168,0.0101805
21.7424,0.00745466
21.7614,0.00588114
21.781,0.004664
21.8006,0.003806
21.8174,0.00330852
21.8342,0.00299248
21.8552,0.00280801
21.8637,0.00279317
21.8795,0.00285669
21.897,0.00308169
21.9145,0.00351455
21.9291,0.00409159
21.9437,0.00493768
