96-Cm-242(n,total fission) ENDF/B-VII.1
264.53,11.7311
264.586,16.0819
264.649,22.1639
264.849,44.819
264.924,50.7246
264.999,52.8626
265.066,51.1971
265.14,45.8385
265.259,32.6717
265.366,20.6096
265.429,14.8206
265.483,10.8817
265.532,8.09501
265.577,6.1371
265.619,4.7342
265.661,3.67241
265.701,2.91403
265.745,2.29309
265.789,1.84155
265.839,1.47241
265.883,1.23881
265.938,1.02713
266.008,0.836422
266.092,0.678779
266.19,0.550896
266.295,0.453027
266.421,0.36809
266.568,0.297051
266.736,0.239089
266.925,0.192509
267.146,0.153807
267.38,0.124361
267.66,0.0992337
267.968,0.0796124
268.304,0.0642855
268.661,0.0524875
269.102,0.0420128
269.55,0.0343328
270.11,0.0274347
270.712,0.022179
271.384,0.0179649
272.168,0.0144622
273.009,0.0117679
273.997,0.00951318
274.842,0.00813016
275.0,0.0079765
275.0,1.535
300.0,1.4561
322.371,1.39396
340.237,1.3491
368.91,1.2845
400.0,1.223
472.871,1.1777
543.879,1.14113
643.526,1.09864
700.0,1.078
731.915,1.00953
761.032,0.953193
799.307,0.886775
832.817,0.834759
871.79,0.780413
913.893,0.728073
943.76,0.694414
980.89,0.65607
1000.0,0.6377
1195.53,0.645961
1355.4,0.652716
1500.0,0.6578
1732.05,0.635937
2000.0,0.6148
2391.06,0.623797
2710.81,0.631153
3000.0,0.6367
3197.81,0.619692
3575.87,0.591014
4012.62,0.562829
4340.6,0.544387
4769.76,0.523052
5613.08,0.4845
6073.66,0.466168
6676.5,0.445082
7000.0,0.4349
7913.08,0.413604
8603.02,0.399685
9510.8,0.383599
10000.0,0.3758
11326.4,0.363066
12570.8,0.352741
14118.2,0.341588
15988.1,0.330029
18561.8,0.316674
20000.0,0.3102
22133.6,0.303244
25768.4,0.293101
30000.0,0.283297
34868.2,0.273924
39665.1,0.266137
45992.2,0.257468
54387.9,0.24771
61702.1,0.240408
73191.5,0.230868
81821.5,0.224846
93531.1,0.217827
100000.0,0.2144
100000.0,0.2144
173168.0,0.300111
209776.0,0.341609
300000.0,0.465303
400000.0,0.714901
500000.0,1.01701
600000.0,1.49005
620000.0,1.59596
700000.0,1.37802
868436.0,1.70603
1000000.0,1.9
1200000.0,2.08417
1500000.0,2.17978
2744410.0,2.01578
4000000.0,1.93104
6000000.0,1.9756
6500000.0,2.0805
7000000.0,2.4327
7500000.0,2.58889
9000000.0,2.6264
1.2E7,2.59041
1.4E7,2.90701
2.0E7,2.8151
